Frame Count, Data Count, Touch Flag, Time, PPG 0, PPG 1, PPG 2, HR, SG, RET, 
14, 2, 1, 9.90, 11905643, 73543813, 2415087, 74.97886, 49, MSG_HR_READY, 
14, 3, 1, 9.90, 11902801, 73559769, 2413481, 74.97886, 49, MSG_HR_READY, 
14, 4, 1, 9.90, 11902737, 73551309, 2412731, 74.97886, 49, MSG_HR_READY, 
14, 5, 1, 9.90, 11901203, 73543599, 2411107, 74.97886, 49, MSG_HR_READY, 
14, 6, 1, 9.90, 11897755, 73527537, 2408001, 74.97886, 49, MSG_HR_READY, 
14, 7, 1, 9.90, 11894273, 73538995, 2407145, 74.97886, 49, MSG_HR_READY, 
14, 8, 1, 9.90, 11892995, 73533963, 2404771, 74.97886, 49, MSG_HR_READY, 
14, 9, 1, 9.90, 11895359, 73518113, 2402077, 74.97886, 49, MSG_HR_READY, 
14, 10, 1, 9.90, 11892101, 73514473, 2399631, 74.97886, 49, MSG_HR_READY, 
14, 11, 1, 9.90, 11892101, 73513615, 2398667, 74.97886, 49, MSG_HR_READY, 
14, 12, 1, 9.90, 11895647, 73521647, 2397543, 74.97886, 49, MSG_HR_READY, 
14, 13, 1, 9.90, 11895711, 73522289, 2396347, 74.97886, 49, MSG_HR_READY, 
14, 14, 1, 9.90, 11896669, 73529143, 2396061, 74.97886, 49, MSG_HR_READY, 
14, 15, 1, 9.90, 11901075, 73539531, 2395847, 74.97886, 49, MSG_HR_READY, 
14, 16, 1, 9.90, 11900725, 73540065, 2395045, 74.97886, 49, MSG_HR_READY, 
14, 17, 1, 9.90, 11900947, 73537603, 2394509, 74.97886, 49, MSG_HR_READY, 
14, 18, 1, 9.90, 11903919, 73541565, 2394599, 74.97886, 49, MSG_HR_READY, 
14, 19, 1, 9.90, 11903535, 73542957, 2394491, 74.97886, 49, MSG_HR_READY, 
15, 0, 1, 10.00, 11909539, 73552917, 2394867, 74.9816, 49, MSG_HR_READY, 
15, 1, 1, 10.00, 11914585, 73577117, 2395633, 74.9816, 49, MSG_HR_READY, 
15, 2, 1, 10.00, 11915193, 73560413, 2395597, 74.9816, 49, MSG_HR_READY, 
